tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8, te band 9, te band 10, te band 11, te band 12, te band 13, te band 14, te band 15, te band 16, te band 17, te band 18, te band 19, te band 20, te band 21, te band 22, te band 23, te band 24, te band 25, te band 26, te band 27, te band 28, te band 29, te band 30
tefreqs:, 17, 0.38, 0, 0, 0.38, 0.120347, 0.126772, 0.12772, 0.130035, 0.13051, 0.134919, 0.135394, 0.141734, 0.142008, 0.149781, 0.150211, 0.158981, 0.159151, 0.168589, 0.16864, 0.177849, 0.177983, 0.1854, 0.185954, 0.189579, 0.19147, 0.192573, 0.199943, 0.211354, 0.228962, 0.229207, 0.229602, 0.23148, 0.23191, 0.232579
tefreqs:, 18, 0.385, 0, 0, 0.385, 0.121808, 0.128373, 0.12931, 0.131577, 0.132035, 0.136353, 0.136837, 0.143044, 0.143328, 0.150942, 0.151383, 0.159964, 0.160135, 0.169329, 0.169386, 0.178257, 0.17836, 0.185048, 0.185917, 0.188875, 0.190946, 0.191862, 0.199532, 0.210529, 0.228396, 0.228567, 0.228788, 0.230752, 0.231506, 0.232343
tefreqs:, 19, 0.39, 0, 0, 0.39, 0.123265, 0.129972, 0.130896, 0.133118, 0.133557, 0.137785, 0.138277, 0.14435, 0.144644, 0.152097, 0.152546, 0.16093, 0.161103, 0.170038, 0.1701, 0.178609, 0.178662, 0.184532, 0.185798, 0.188196, 0.190345, 0.191095, 0.199139, 0.209716, 0.227817, 0.22797, 0.228105, 0.230003, 0.231015, 0.232126
tefreqs:, 20, 0.395, 0, 0, 0.395, 0.12472, 0.131567, 0.13248, 0.134656, 0.135077, 0.139214, 0.139715, 0.145652, 0.145955, 0.153244, 0.1537, 0.161879, 0.162053, 0.170713, 0.170777, 0.178873, 0.178899, 0.183867, 0.185596, 0.187551, 0.189668, 0.19027, 0.198757, 0.208921, 0.227139, 0.227407, 0.227645, 0.229286, 0.230391, 0.231775
tefreqs:, 21, 0.4, 0, 0, 0.4, 0.126171, 0.13316, 0.13406, 0.136191, 0.136592, 0.14064, 0.141149, 0.14695, 0.147261, 0.154381, 0.154842, 0.162808, 0.162984, 0.171348, 0.171411, 0.178968, 0.179121, 0.183102, 0.185308, 0.186924, 0.188921, 0.189388, 0.198381, 0.208151, 0.226468, 0.226872, 0.227311, 0.228616, 0.229664, 0.231275
tefreqs:, 22, 0.405, 0, 0, 0.405, 0.127618, 0.134749, 0.135637, 0.137722, 0.138105, 0.142063, 0.14258, 0.148242, 0.14856, 0.155509, 0.155972, 0.163713, 0.163891, 0.171941, 0.171998, 0.178904, 0.17927, 0.182312, 0.184934, 0.186289, 0.188108, 0.188452, 0.198008, 0.207409, 0.225848, 0.226356, 0.227052, 0.227999, 0.228907, 0.230742
tefreqs:, 23, 0.41, 0, 0, 0.41, 0.129062, 0.136335, 0.13721, 0.139251, 0.139613, 0.143481, 0.144006, 0.149528, 0.149851, 0.156624, 0.157088, 0.164593, 0.164772, 0.172484, 0.172527, 0.178617, 0.179343, 0.18159, 0.184473, 0.185624, 0.187232, 0.187464, 0.197637, 0.206701, 0.225293, 0.225854, 0.226828, 0.22743, 0.228193, 0.230264
tefreqs:, 24, 0.415, 0, 0, 0.415, 0.130501, 0.137917, 0.138779, 0.140775, 0.141117, 0.144895, 0.145427, 0.150806, 0.151134, 0.157725, 0.158187, 0.165443, 0.165624, 0.172975, 0.172988, 0.178061, 0.179334, 0.18101, 0.183928, 0.184913, 0.1863, 0.186428, 0.197268, 0.206029, 0.224809, 0.225361, 0.226544, 0.226909, 0.227638, 0.229882
tefreqs:, 25, 0.42, 0, 0, 0.42, 0.131936, 0.139495, 0.140343, 0.142296, 0.142616, 0.146303, 0.146843, 0.152076, 0.152408, 0.158811, 0.159268, 0.166261, 0.166442, 0.17336, 0.173406, 0.177277, 0.179241, 0.180558, 0.183301, 0.184146, 0.185315, 0.18535, 0.196902, 0.205397, 0.224399, 0.224879, 0.226075, 0.226437, 0.227376, 0.229567
tefreqs:, 26, 0.425, 0, 0, 0.425, 0.133366, 0.14107, 0.141904, 0.143812, 0.14411, 0.147705, 0.148252, 0.153337, 0.153671, 0.159879, 0.160329, 0.167042, 0.167223, 0.173595, 0.173774, 0.176391, 0.179061, 0.180162, 0.182594, 0.183319, 0.184234, 0.184284, 0.196541, 0.204807, 0.224062, 0.224406, 0.225484, 0.226023, 0.227345, 0.228902
tefreqs:, 27, 0.43, 0, 0, 0.43, 0.13479, 0.14264, 0.14346, 0.145323, 0.145599, 0.149101, 0.149655, 0.154587, 0.154921, 0.160926, 0.161367, 0.167783, 0.167959, 0.173559, 0.174071, 0.175604, 0.178794, 0.179756, 0.181812, 0.182427, 0.18309, 0.183213, 0.196188, 0.204259, 0.223795, 0.223947, 0.224889, 0.22568, 0.227416, 0.228002
tefreqs:, 28, 0.435, 0, 0, 0.435, 0.136208, 0.144205, 0.145011, 0.146829, 0.147082, 0.150489, 0.151051, 0.155825, 0.156158, 0.161951, 0.162379, 0.168478, 0.168644, 0.173028, 0.174293, 0.175182, 0.17844, 0.179301, 0.180955, 0.181458, 0.181936, 0.182109, 0.195845, 0.203755, 0.223506, 0.223571, 0.224363, 0.225418, 0.227114, 0.22749
tefreqs:, 29, 0.44, 0, 0, 0.44, 0.137618, 0.145766, 0.146556, 0.148329, 0.148557, 0.151869, 0.152438, 0.15705, 0.157381, 0.16295, 0.163362, 0.169123, 0.16926, 0.172095, 0.174433, 0.175063, 0.178002, 0.178778, 0.180026, 0.180388, 0.180808, 0.180982, 0.195515, 0.203294, 0.223094, 0.22332, 0.223995, 0.22524, 0.226262, 0.227417
tefreqs:, 30, 0.445, 0, 0, 0.445, 0.139019, 0.147322, 0.148096, 0.149823, 0.150026, 0.15324, 0.153815, 0.15826, 0.158586, 0.163921, 0.164314, 0.169713, 0.169726, 0.171079, 0.174487, 0.175013, 0.177483, 0.178172, 0.179022, 0.179206, 0.179725, 0.179843, 0.195201, 0.202875, 0.22272, 0.222976, 0.223857, 0.225141, 0.225454, 0.227072
tefreqs:, 31, 0.45, 0, 0, 0.45, 0.14041, 0.148873, 0.14963, 0.15131, 0.151487, 0.154601, 0.155183, 0.159454, 0.159772, 0.164859, 0.16523, 0.169416, 0.17024, 0.170709, 0.174446, 0.174932, 0.176888, 0.177472, 0.177942, 0.177953, 0.178667, 0.178708, 0.194905, 0.202499, 0.222396, 0.222603, 0.223885, 0.224682, 0.225131, 0.22656
tefreqs:, 32, 0.455, 0, 0, 0.455, 0.141787, 0.150418, 0.151158, 0.152789, 0.152938, 0.155951, 0.156539, 0.160628, 0.160938, 0.165759, 0.166107, 0.168313, 0.170697, 0.171038, 0.174302, 0.174785, 0.176226, 0.176637, 0.176678, 0.176788, 0.177587, 0.177632, 0.194631, 0.202164, 0.222129, 0.222261, 0.223973, 0.224012, 0.225176, 0.226015
tefreqs:, 33, 0.46, 0, 0, 0.46, 0.143146, 0.151957, 0.152678, 0.154261, 0.15438, 0.157288, 0.157882, 0.161781, 0.16208, 0.166602, 0.166939, 0.167115, 0.171074, 0.171397, 0.174039, 0.174558, 0.175326, 0.175506, 0.175576, 0.175719, 0.17649, 0.176634, 0.19438, 0.201868, 0.221927, 0.22197, 0.223321, 0.224187, 0.225271, 0.225522
tefreqs:, 34, 0.465, 0, 0, 0.465, 0.144483, 0.153489, 0.154191, 0.155723, 0.15581, 0.158611, 0.159211, 0.162909, 0.163196, 0.165851, 0.16745, 0.16772, 0.171351, 0.171697, 0.173631, 0.173975, 0.174244, 0.174311, 0.174655, 0.174757, 0.17544, 0.175671, 0.194155, 0.201611, 0.221736, 0.221791, 0.222733, 0.224298, 0.225208, 0.225381
tefreqs:, 35, 0.47, 0, 0, 0.47, 0.145789, 0.155015, 0.155695, 0.157176, 0.157226, 0.159919, 0.160522, 0.163989, 0.164282, 0.164655, 0.168212, 0.168443, 0.171471, 0.171915, 0.172604, 0.172958, 0.17315, 0.173501, 0.173843, 0.17393, 0.174519, 0.174726, 0.193957, 0.201391, 0.221558, 0.221715, 0.222227, 0.224142, 0.225277, 0.225443
tefreqs:, 36, 0.475, 0, 0, 0.475, 0.14705, 0.156533, 0.157189, 0.158618, 0.158625, 0.161209, 0.161801, 0.16343, 0.165109, 0.165335, 0.168918, 0.169089, 0.171209, 0.171237, 0.17172, 0.171998, 0.172343, 0.1726, 0.172984, 0.17332, 0.173787, 0.173808, 0.193787, 0.201208, 0.221431, 0.221607, 0.221898, 0.223835, 0.225359, 0.225609
tefreqs:, 37, 0.48, 0, 0, 0.48, 0.148243, 0.158044, 0.158672, 0.160004, 0.160045, 0.16221, 0.162479, 0.163163, 0.166145, 0.166348, 0.169541, 0.169574, 0.169811, 0.170238, 0.170768, 0.171019, 0.171959, 0.17206, 0.172373, 0.17262, 0.173032, 0.173148, 0.193647, 0.201059, 0.221308, 0.221347, 0.221906, 0.223537, 0.225078, 0.226024
tefreqs:, 38, 0.485, 0, 0, 0.485, 0.149331, 0.159546, 0.160141, 0.161137, 0.161352, 0.161523, 0.163725, 0.164377, 0.167148, 0.167308, 0.168377, 0.16886, 0.169377, 0.169667, 0.170174, 0.170405, 0.171021, 0.171484, 0.172122, 0.172218, 0.172445, 0.172548, 0.193538, 0.200944, 0.221023, 0.221296, 0.222045, 0.223294, 0.224672, 0.226424
tefreqs:, 39, 0.49, 0, 0, 0.49, 0.150247, 0.160294, 0.161042, 0.161585, 0.162648, 0.162879, 0.164939, 0.165586, 0.166943, 0.167489, 0.168087, 0.168106, 0.168421, 0.168493, 0.169759, 0.170183, 0.170892, 0.170952, 0.171581, 0.171789, 0.172156, 0.172208, 0.193459, 0.200863, 0.220811, 0.22127, 0.222243, 0.223117, 0.224244, 0.226675
tefreqs:, 40, 0.495, 0, 0, 0.495, 0.150885, 0.159676, 0.162524, 0.162964, 0.163829, 0.164253, 0.165484, 0.166085, 0.166122, 0.166639, 0.167236, 0.167333, 0.168486, 0.169021, 0.16924, 0.169311, 0.170704, 0.170915, 0.171335, 0.171492, 0.171933, 0.172011, 0.193412, 0.200814, 0.220681, 0.221258, 0.222451, 0.22301, 0.223886, 0.226734
tefreqs:, 41, 0.5, 0, 0, 0.5, 0.151119, 0.159448, 0.163827, 0.163978, 0.164035, 0.164752, 0.164944, 0.165429, 0.165865, 0.166599, 0.167125, 0.167751, 0.167751, 0.168391, 0.169729, 0.169757, 0.170097, 0.170497, 0.171583, 0.171662, 0.171707, 0.171837, 0.193396, 0.200798, 0.220637, 0.221255, 0.222557, 0.222974, 0.223727, 0.226732
