r0,r1,r2,r3,s1,s2,s3,p1,p2,p3,bandwidth,ng0,GBP,avgLoss,loss_at_ng0,delay
0.244046,0.337688,0.26742,0.253066,-0.076583,-0.007794,0.035205,0.019983,0.024926,0.007832,1e-08,1e-08,1e-08,100000,100000,1e-08
0.342867,0.271678,0.26742,0.253066,0.067286,0.007763,-0.041146,0.018848,-0.028394,0.007832,0.0037,12.4224,0.0468,10.0864,9.1611,270.07
0.2,0.260604,0.4,0.2,0.163109,0.090449,0.059225,0.117367,0.145875,-0.054057,1e-08,1e-08,1e-08,100000,100000,1e-08
0.2,0.227629,0.338433,0.272386,-0.115288,-0.141022,-0.053517,0.124599,-0.112083,-0.050961,0.0017,113.3696,0.192,4002.4254,3317.6288,10.8883
0.364042,0.251474,0.4,0.277277,-0.005112,0.073582,-0.014398,0.009968,0.003191,-0.015809,0.0019,87.2206,0.1627,2729.5345,4619.12,5.9334
0.219232,0.2,0.310876,0.2,-0.13246,-0.070372,-0.078033,0.117435,0.234399,-0.000673,0.0151,31.0899,0.456,143.4996,177.9436,48.873
0.218107,0.231531,0.248877,0.2,0.001459,-0.101481,-0.032014,0.110009,-0.028279,0.004437,0.0025,20.2848,0.0503,67.1805,62.9679,80.9132
0.2,0.227629,0.294188,0.272386,-0.133107,-0.194626,-0.08162,0.124599,-0.210475,0.060433,0.0011,-47.3821,0.0503,599.935,677.919,20.8393
0.235863,0.237683,0.4,0.2,-0.075523,-0.077118,-0.091657,-0.064948,0.193249,0.048804,0.0043,-28.8247,0.121,444.1553,320.8733,24.7499
0.237322,0.279475,0.383745,0.2,-0.062471,0.002185,-0.083218,-0.013914,0.049819,0.003271,0.0029,-58.8247,0.1688,2274.6939,1574.2028,11.3972
0.200353,0.278182,0.286036,0.2,-0.136598,-0.206823,-0.040287,0.172176,-0.175329,0.001427,0.0008,-150.7329,0.1239,17478.547,14108.8584,3.4431
0.4,0.279475,0.4,0.200643,-0.000247,0.002185,-0.092404,-0.165299,0.049819,-0.042682,0.0039,10.4021,0.0412,15.0511,14.8745,121.0596
0.2,0.225294,0.276921,0.249484,-0.131717,-0.116947,-0.077449,-0.106083,-0.157476,-0.046269,0.0123,18.7086,0.2297,29.1572,25.0228,182.6142
0.2279,0.2,0.203594,0.213233,0.063663,-0.097843,-0.020123,-0.152738,-0.209395,0.030888,0.0221,10.1126,0.2218,8.8064,7.6598,222.4867
0.2279,0.243057,0.4,0.2,0.058351,-0.07817,-0.091657,0.067357,0.200715,-0.03925,0.0003,439.6069,0.1197,118806.3711,131295.3983,1.1034
0.236084,0.2,0.310876,0.2,-0.13246,-0.095436,-0.078033,0.124599,0.234399,-0.042682,0.0171,18.6773,0.3086,84.4827,97.6565,46.6849
0.2,0.250731,0.286036,0.2,0.127927,-0.215526,-0.044237,0.136087,-0.175329,0.001427,0.0172,10.1629,0.174,67.9404,67.2301,25.598
0.2,0.229254,0.320316,0.2,-0.134903,-0.092188,0.080771,-0.141671,-0.183314,-0.039487,0.0236,22.7121,0.5059,92.7878,106.1731,55.6077
0.246399,0.216931,0.383745,0.2,-0.055455,-0.112199,-0.036842,-0.115785,0.005009,0.006596,0.011,39.5825,0.4193,510.7086,524.3392,21.9848
0.216469,0.2,0.341488,0.2,-0.100247,-0.173876,0.05995,-0.141671,-0.158791,0.030778,0.0175,10.1049,0.1752,82.3005,86.5629,19.6577
0.223115,0.244706,0.292582,0.2,-0.123115,-0.092381,-0.07421,0.124599,-0.259401,-0.000774,0.0106,-40.317,0.4171,769.7661,1190.3659,9.8897
0.2279,0.237683,0.4,0.2,0.063663,-0.077118,0.094071,0.067357,0.169217,0.030888,0.0046,56.604,0.259,1363.6509,1336.8944,12.8666
0.206353,0.240425,0.330503,0.2,-0.143242,-0.095436,-0.054285,0.124599,0.211272,-0.042682,0.0124,29.0586,0.3501,224.3602,225.8059,35.5151
0.22236,0.222222,0.338394,0.278744,0.063919,0.02312,-0.058217,0.008382,0.024022,0.00074,0.0011,-132.5406,0.1462,4383.0796,6010.6047,7.0731
0.290425,0.226162,0.395992,0.278744,0.050255,0.026889,-0.036636,0.010801,0.01956,-7.1e-05,0.0006,148.2672,0.0951,11667.8349,12802.0298,3.7303
0.213931,0.329162,0.357892,0.4,-0.00722,0.004476,0.008642,-0.016922,0.019968,0.017818,0.0004,59.1193,0.0225,697.4439,808.8479,22.3031
0.2,0.307686,0.258553,0.265909,0.120432,0.092588,-0.015849,-0.152738,-0.226355,0.002735,1e-08,1e-08,1e-08,100000,100000,1e-08
0.2,0.227629,0.28966,0.272386,-0.155029,-0.129963,-0.077662,-0.145734,-0.176931,-0.050961,0.0224,16.1959,0.3568,38.7544,39.5279,94.4136
0.223115,0.279475,0.4,0.2,-0.123115,-0.092381,-0.092404,0.124599,0.049819,-0.042682,0.0041,60.6918,0.2439,2593.8802,3160.4206,5.8739
0.4,0.27425,0.25256,0.256696,0.000647,-0.005145,-0.003043,-0.100216,0.025478,-0.083151,1e-08,1e-08,1e-08,100000,100000,1e-08
0.235128,0.278786,0.243294,0.276948,0.059019,-0.051992,0.096982,-0.100416,0.126122,-0.02103,0.0227,14.6823,0.3313,136.7463,240.9564,13.3943
0.2,0.227629,0.338087,0.292689,-0.115288,-0.144695,-0.042501,0.124599,0.107607,-0.050961,0.02,10.6957,0.2052,50.1551,36.9818,51.3376
0.235128,0.242938,0.243294,0.278177,0.063342,-0.046326,0.084515,-0.121568,0.147012,-0.027806,0.0162,14.0823,0.222,176.8503,270.5625,11.1894
0.2,0.2311,0.304262,0.200134,-0.117866,-0.082661,-0.078033,-0.156808,0.237504,0.000777,0.0105,-26.8563,0.2723,306.5557,239.1702,30.4613
0.22236,0.222222,0.338394,0.278744,0.063919,0.02312,-0.050236,0.008045,0.025483,0.001781,0.0009,-139.6821,0.1211,4452.9246,5603.3759,8.012
0.246399,0.216931,0.4,0.2,-0.055455,-0.112199,-0.036842,-0.142213,0.00519,0.004437,0.0063,35.6376,0.2206,877.7726,936.344,10.9068
0.219232,0.237683,0.310876,0.2,-0.13246,-0.070372,0.101169,0.117435,0.269618,0.059755,0.0121,25.2098,0.2978,286.9744,252.2323,26.7079
0.213931,0.329162,0.357892,0.2,-0.124667,0.004476,-0.018602,0.137386,0.171362,0.001644,0.0016,-45.8509,0.0713,2998.9954,3490.2569,3.9014
0.2,0.260604,0.4,0.234825,0.163109,0.080042,0.059225,0.117367,0.154715,-0.057797,1e-08,1e-08,1e-08,100000,100000,1e-08
0.2,0.2,0.2,0.213233,-0.110622,-0.023512,-0.020123,0.022353,-0.214574,0.096071,0.0198,12.1453,0.2359,72.1885,106.2113,22.4249
0.2,0.354077,0.263561,0.266426,-0.134903,0.021594,0.080771,-0.141671,-0.023719,0.018505,0.0002,115.8335,0.0232,3667.5268,4233.9494,8.7258
0.371273,0.207025,0.383745,0.276494,0.008081,0.002185,-0.062634,-0.025664,-0.077978,-0.018992,1e-08,1e-08,1e-08,100000,100000,1e-08
0.2,0.227562,0.240534,0.200134,-0.13246,-0.116533,-0.066325,0.14475,-0.288874,0.001276,0.001,-127.0298,0.1279,3123.1016,3821.641,10.6438
0.24605,0.203036,0.383745,0.232804,-0.15515,-0.095436,-0.046694,-0.159998,0.189727,0.004437,0.0097,-12.8141,0.1217,85.0851,70.6262,36.8803
0.2,0.2,0.312205,0.2,-0.069483,-0.082223,-0.085667,-0.149746,0.219447,-0.051044,0.005,-35.3734,0.174,470.8861,458.5568,22.079
0.246399,0.216931,0.383745,0.2,-0.055455,-0.094408,-0.031985,-0.115785,0.005009,0.006596,0.0077,53.3453,0.3935,895.4237,898.8844,17.9279
0.22236,0.222222,0.243294,0.278744,0.063919,-0.05525,0.084515,0.008382,0.024022,0.00074,0.0258,14.3248,0.3687,57.6783,119.764,25.9532
0.2,0.225294,0.276921,0.283197,-0.131717,-0.129051,-0.077449,-0.103086,-0.13315,-0.050806,0.0247,16.3043,0.3852,25.2378,37.534,100.3921
0.2,0.250731,0.311113,0.2,-0.148213,-0.192178,-0.044871,0.136087,-0.175329,0.001427,0.0016,48.4616,0.075,544.0352,575.5995,25.1689
0.2,0.20825,0.320316,0.2,-0.134903,0.102106,0.080771,-0.170232,-0.183314,-0.039487,0.0005,109.0929,0.0487,716.7479,740.0985,12.15
0.223115,0.244706,0.292582,0.200643,-0.123115,0.002185,-0.092404,0.124599,0.049819,-0.000774,0.0012,-90.6667,0.1014,3669.0837,2928.7046,9.7502
0.221231,0.2,0.236829,0.215604,0.041625,-0.110277,-0.078033,-0.135737,0.151871,-0.042682,0.0185,15.572,0.2804,77.3133,110.0686,32.0164
0.2,0.23901,0.276921,0.249484,-0.146552,-0.135041,-0.077449,-0.116961,-0.157476,-0.046269,0.0136,17.1722,0.23,26.9489,26.0964,155.4779
0.223115,0.244706,0.25025,0.2,-0.123115,-0.096436,-0.07421,0.124599,-0.259401,-0.000774,0.0007,230.2867,0.1514,28764.1295,45495.5608,1.6506
0.252501,0.237683,0.4,0.2,0.063663,-0.077118,-0.091657,0.128903,-0.223876,0.05068,0.0091,-29.0825,0.2566,527.0934,619.4724,12.9586
